Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Body,Excerpt,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
823,"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson,"Stephenson, Neal",,"=""0060593083""","=""9780060593087""",5,3.92,Harper Perennial,Paperback,927,2004,2003,,2013/01/14,,,read,,,,1,,,0,,,,,
827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",5,4.19,Spectra,Paperback,499,2000,1995,,2013/01/14,,,read,,,,1,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""0060512806""","=""9780060512804""",5,4.25,Avon,Paperback,1139,2002,1999,,2013/01/14,,,read,,,,1,,,0,,,,,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""0553380958""","=""9780553380958""",4,4.03,Bantam Books,Paperback,438,2000,1992,,2013/01/14,,,read,,,,1,,,0,,,,,
1505922,Brave Men Run - A Novel of the Sovereign Era,Matthew Wayne Selznick,"Selznick, Matthew Wayne",,"=""141165661X""","=""9781411656611""",4,3.85,MWS MMedia,Paperback,1,,2005,,2013/01/14,,,read,,,,1,,,0,,,,,
2855010,Playing for Keeps,Mur Lafferty,"Lafferty, Mur",,"=""""","=""""",4,3.87,,ebook,260,2008,2008,,2013/01/14,,,read,,,,1,,,0,,,,,
470495,All Over But the Shoutin',Rick Bragg,"Bragg, Rick",,"=""0679774025""","=""9780679774020""",0,4.09,Vintage,Paperback,329,1998,1997,,2013/01/14,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
6515468,"The Primal Blueprint: Reprogram Your Genes for Effortless Weight Loss, Vibrant Health, and Boundless Energy",Mark Sisson,"Sisson, Mark",,"=""0982207700""","=""9780982207703""",4,4.06,Primal Nutrition,Hardcover,283,2009,2014,,2013/01/14,,,read,,,,1,,,0,,,,,
303110,Earthcore,Scott Sigler,"Sigler, Scott",,"=""1896944329""","=""9781896944326""",5,4.11,Dragon Moon Press,Paperback,320,2005,2001,,2013/01/14,,,read,,,,1,,,0,,,,,
481601,Ancestor,Scott Sigler,"Sigler, Scott",,"=""1896944736""","=""9781896944739""",5,3.94,Dragon Moon Press,Hardcover,261,2010,2007,,2013/01/14,,,read,,,,1,,,0,,,,,
3605324,"Contagious (Infected, #2)",Scott Sigler,"Sigler, Scott",,"=""0307406318""","=""9780307406316""",5,4.12,Crown,Hardcover,438,2008,2008,,2013/01/14,,,read,,,,1,,,0,,,,,
2331954,"Infected (Infected, #1)",Scott Sigler,"Sigler, Scott",,"=""0307406105""","=""9780307406101""",5,3.84,Crown,Hardcover,342,2008,2008,,2013/01/14,,,read,,,,1,,,0,,,,,
10890413,Be the Monkey: A Conversation About the New World of Publishing,Barry Eisler,"Eisler, Barry","J.A. Konrath, Jack Kilborn","=""""","=""""",5,4.14,,Kindle Edition,145,,2011,,2013/01/14,,,read,,,,1,,,0,,,,,
13503231,Dream Save Do: An Action Plan for Dreamers Like You,Betsy Talbot,"Talbot, Betsy",Warren Talbot,"=""""","=""""",4,4.15,Married with Luggage,Kindle Edition,370,2013,2011,,2013/01/14,,,read,,,,1,,,0,,,,,
13438643,"The Manuscript (The Delphi Chronicle, #1)",Russell Blake,"Blake, Russell",,"=""""","=""9781619796171""",4,3.87,Smashwords,ebook,,2011,2011,,2013/01/14,,,read,,,,1,,,0,,,,,
14377094,This Is Life a Jack Palms Novel,Seth J. Harwood,"Harwood, Seth J.",,"=""1461160278""","=""9781461160274""",4,4.00,Createspace,Paperback,370,2011,2011,,2013/01/14,,,read,,,,1,,,0,,,,,
15767851,"Timecaster Supersymmetry (Timecaster, #2)",Joe Kimball,"Kimball, Joe",,"=""""","=""9780985588038""",4,3.58,Dystel & Goderich Literary Management,ebook,278,2012,2011,,2013/01/14,,,read,,,,1,,,0,,,,,
12483282,What Were We Thinking?,Nancy Sathre-Vogel,"Sathre-Vogel, Nancy",John E. Vogel,"=""0983718709""","=""9780983718703""",3,3.63,,,,,2011,,2013/01/14,,,read,,,,1,,,0,,,,,
13607987,Classified Woman,Sibel Edmonds,"Edmonds, Sibel",,"=""0615602223""","=""9780615602226""",4,4.38,"Sibel Edmonds, Alexandria Virginia",Paperback,342,2012,2012,,2013/01/14,,,read,,,,1,,,0,,,,,
17153392,Happier Than a Billionaire: The Sequel,Nadine Hays Pisani,"Pisani, Nadine Hays",,"=""1481098225""","=""9781481098229""",3,4.01,Createspace Independent Publishing Platform,Paperback,320,2012,2012,,2013/01/14,,,read,,,,1,,,0,,,,,
86161,Ugly Americans: The True Story of the Ivy League Cowboys Who Raided the Asian Markets for Millions,Ben Mezrich,"Mezrich, Ben",,"=""0060575018""","=""9780060575014""",0,3.83,William Morrow Paperbacks,Paperback,288,2005,2004,,2012/08/03,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
514313,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,"Mezrich, Ben",,"=""0743225708""","=""9780743225700""",5,3.88,Free Press,Hardcover,272,2002,2002,,2012/08/03,,,read,,,,1,,,0,,,,,
13486356,"Lowcountry Bribe (Caroline Slade Mystery Series, #1)",C. Hope Clark,"Clark, C. Hope",,"=""1611940907""","=""9781611940909""",0,3.92,Bell Bridge Books,Paperback,272,2012,2012,,2012/06/07,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
3128539,Caxton Tempest at the End of the World,Ken Preston,"Preston, Ken",,"=""1846858836""","=""9781846858833""",0,4.00,Exposure Publishing,Paperback,240,2007,2007,,2012/06/04,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
13159033,King of Swords,Russell Blake,"Blake, Russell",,"=""""","=""""",5,3.94,Manana Publishing,Kindle Edition,306,,2011,2012/06/03,2012/06/03,,,read,Great book! Especially realistic and a bit unnerving as I am currently living in Mexico...,,,1,,,0,,,,,
252577,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"McCourt, Frank",,"=""0007205236""","=""9780007205233""",3,4.08,Harper Perennial,Paperback,452,2005,1996,,2012/05/26,,,read,,,,1,,,0,,,,,
40189,A Year in Provence,Peter Mayle,"Mayle, Peter",,"=""0679731148""","=""9780679731146""",5,3.95,Vintage,Paperback,207,1991,1989,,2012/05/26,,,read,,,,1,,,0,,,,,
210404,A Sand County Almanac and Sketches Here and There,Aldo Leopold,"Leopold, Aldo",,"=""0195007778""","=""9780195007770""",5,4.25,"Oxford University Press, USA",Paperback,269,1968,1949,,2012/05/26,,,read,,,,1,,,0,,,,,
51299,Letter to a Christian Nation,Sam Harris,"Harris, Sam",,"=""0307265773""","=""9780307265777""",4,4.03,Knopf,Hardcover,91,2006,2006,,2012/05/26,,,read,,,,1,,,0,,,,,
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",5,3.90,Houghton Mifflin Co. (Boston/NY),Hardcover,374,2006,2006,,2012/05/26,,,read,,,,1,,,0,,,,,
9791,A Walk in the Woods,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",4,4.05,Anchor Books,Mass Market Paperback,397,2006,1997,,2012/05/26,,,read,,,,1,,,0,,,,,
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""078670621X""","=""9780786706211""",4,4.37,Carroll & Graf Publishers,Hardcover,282,1959,1959,,2012/05/26,,,read,,,,1,,,0,,,,,
1845,Into the Wild,Jon Krakauer,"Krakauer, Jon",,"=""0385486804""","=""9780385486804""",5,3.96,Anchor Books,Paperback,207,1997,1996,,2012/05/26,,,read,,,,1,,,0,,,,,
49353,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",Michael Connelly,"Connelly, Michael",,"=""075280944X""","=""9780752809441""",5,4.22,Orion,Paperback,400,1997,1995,,2012/05/26,,,read,,,,1,,,0,,,,,
58962,"Trunk Music (Harry Bosch, #5; Harry Bosch Universe, #6)",Michael Connelly,"Connelly, Michael",,"=""0312941919""","=""9780312941918""",5,4.16,St. Martin's Paperbacks,Paperback,448,2006,1997,,2012/05/26,,,read,,,,1,,,0,,,,,
32504,"Blood Work (Terry McCaleb #1; Harry Bosch Universe, #8)",Michael Connelly,"Connelly, Michael",,"=""0446690449""","=""9780446690447""",5,4.12,Grand Central Pub,Paperback,480,2002,1998,,2012/05/26,,,read,,,,1,,,0,,,,,
49350,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)",Michael Connelly,"Connelly, Michael",,"=""044661758X""","=""9780446617581""",5,4.14,Grand Central Publishing,Paperback,484,2007,1994,,2012/05/26,,,read,,,,1,,,0,,,,,
24244,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",Michael Connelly,"Connelly, Michael",,"=""0446613444""","=""9780446613446""",5,4.06,Vision,Paperback,448,2003,1993,,2012/05/26,,,read,,,,1,,,0,,,,,
32501,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #15)",Michael Connelly,"Connelly, Michael",,"=""0316734950""","=""9780316734950""",5,4.10,"Little, Brown & Company",Hardcover,405,2006,2006,,2012/05/26,,,read,,,,1,,,0,,,,,
2761626,"The Brass Verdict (Mickey Haller, #2; Harry Bosch Universe, #18)",Michael Connelly,"Connelly, Michael",,"=""0316166294""","=""9780316166294""",5,4.10,"Little, Brown & Company",Hardcover,422,2008,2008,,2012/05/26,,,read,,,,1,,,0,,,,,
32506,"The Poet (Jack McEvoy, #1; Harry Bosch Universe, #5)",Michael Connelly,"Connelly, Michael",,"=""0446690457""","=""9780446690454""",5,4.20,Grand Central Publishing,Paperback,510,2002,1996,,2012/05/26,,,read,,,,1,,,0,,,,,
32508,"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)",Michael Connelly,"Connelly, Michael",,"=""0446612731""","=""9780446612739""",5,4.10,Grand Central Publishing,Paperback,482,2002,1992,,2012/05/26,,,read,,,,1,,,0,,,,,
79885,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #17)",Michael Connelly,"Connelly, Michael",,"=""0739465511""","=""9780739465516""",5,4.15,"Little, Brown",Paperback,404,2005,2005,,2012/05/26,,,read,,,,1,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",4,3.87,Pocket Books,Mass Market Paperback,736,2006,2000,,2012/05/26,,,read,,,,1,,,0,,,,,
12605157,"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,"Guillebeau, Chris",,"=""0307951529""","=""9780307951526""",5,3.83,Crown Business,Hardcover,268,2012,2012,,2012/05/26,,,read,,,,1,,,0,,,,,
